Data,MRR_Total,Churn_Total,MRR_Essencial,MRR_Controle,MRR_Avancado,MRR_Performance,Churn_Essencial,Churn_Controle,Churn_Avancado,Churn_Performance,%_Anual,Signups,Trials,Conversao_Trial_Pago_%,Engajamento_Medio,%_Base_<30_dias,%_Base_Ativa,%_Ativacao_Features,Engajamento_Essencial,Engajamento_Controle,Engajamento_Avancado,Engajamento_Performance
2022-06-20,4349523.56,5.32,1335031.0,1138301.76,809367.79,1066823.0,5.53,5.16,5.22,4.99,64.56,131,78,33.5,0.302,15.21,69.18,49.86,0.279,0.292,0.336,0.329
2022-06-21,4695877.85,3.32,1497029.34,1206952.4,931347.28,1060548.83,3.59,3.45,2.96,3.05,77.16,139,68,41.36,0.222,17.73,69.83,55.64,0.198,0.205,0.241,0.238
2022-06-22,4493906.84,5.68,1275173.16,1020757.3,872037.12,1325939.26,5.86,5.9,5.36,5.32,68.81,158,80,38.79,0.101,19.49,70.03,53.89,0.085,0.105,0.135,0.126
2022-06-23,4530103.38,6.93,1390307.23,1167278.06,832411.3,1140106.78,7.25,6.8,6.89,6.6,84.51,125,63,41.74,0.172,16.98,75.48,59.76,0.165,0.167,0.188,0.209
2022-06-24,4352030.22,4.03,1295817.04,1124765.41,867991.62,1063456.15,4.28,4.1,3.92,3.54,67.47,123,62,41.19,0.552,15.87,72.11,50.21,0.536,0.535,0.575,0.573
2022-06-25,4458674.07,4.91,1403259.27,1127719.17,966772.45,960923.17,4.9,4.91,4.94,4.77,60.18,126,63,30.76,0.287,22.18,72.77,48.54,0.267,0.299,0.299,0.314
2022-06-26,4538310.71,5.83,1302885.43,1172271.96,824167.96,1238985.36,5.98,5.67,5.71,5.54,72.89,136,55,43.39,0.234,23.95,73.88,45.73,0.219,0.237,0.26,0.253
2022-06-27,4387880.77,6.75,1350173.02,1150923.89,840974.37,1045809.49,6.9,6.8,6.48,6.54,63.77,154,62,33.41,0.109,24.37,76.53,49.54,0.097,0.097,0.132,0.147
2022-06-28,4572083.76,5.05,1433460.79,1146130.9,860930.86,1131561.22,5.3,5.14,4.89,4.69,61.11,147,62,38.3,0.39,21.18,66.36,57.46,0.376,0.383,0.415,0.408
2022-06-29,4455923.36,4.81,1416023.68,1000043.93,844512.73,1195343.01,4.75,4.75,4.56,4.67,77.46,129,54,39.66,0.406,15.53,76.65,40.85,0.379,0.416,0.412,0.442
2022-06-30,4493996.75,3.53,1381139.67,1098249.17,972219.49,1042388.42,3.99,3.65,3.48,3.2,78.31,119,64,32.53,0.471,22.41,73.45,59.56,0.455,0.469,0.471,0.511
2022-07-01,4457795.21,5.6,1336834.79,998022.19,885865.38,1237072.85,5.86,5.44,5.32,5.37,71.52,131,58,44.64,0.251,16.1,75.04,59.87,0.21,0.247,0.26,0.278
2022-07-02,4753273.38,7.54,1448388.42,1142578.32,944247.15,1218059.49,7.76,7.39,7.4,7.32,76.92,124,72,37.32,0.639,21.7,69.91,51.96,0.634,0.647,0.664,0.662
2022-07-03,4530380.33,5.78,1425965.3,1088901.03,953296.34,1062217.67,6.1,5.79,5.58,5.62,73.46,140,82,30.86,0.398,22.79,71.14,46.63,0.393,0.396,0.424,0.432
2022-07-04,4406074.69,5.48,1334266.88,983878.65,820321.61,1267607.55,5.91,5.48,5.29,5.22,75.75,142,85,44.06,0.186,22.26,68.47,44.46,0.175,0.199,0.218,0.232
2022-07-05,4632705.39,5.82,1302788.48,1099994.32,924181.24,1305741.34,6.11,5.75,5.75,5.41,74.92,128,75,38.79,0.14,24.52,79.69,45.53,0.133,0.136,0.156,0.184
2022-07-06,4388498.76,5.49,1392198.34,989825.48,865409.36,1141065.58,5.78,5.57,5.4,5.19,76.65,124,56,40.49,0.208,22.38,72.46,41.0,0.187,0.202,0.23,0.237
2022-07-07,4561063.63,4.69,1402896.83,1187754.61,929893.36,1040518.83,4.9,4.74,4.39,4.32,64.99,147,74,37.88,0.235,21.93,79.94,49.5,0.208,0.235,0.248,0.256
2022-07-08,4301839.59,6.32,1320925.17,1150244.8,946328.6,884341.02,6.51,6.41,6.08,5.86,66.72,133,58,42.52,0.158,17.62,72.35,41.15,0.126,0.168,0.192,0.186
2022-07-09,4378617.67,5.73,1263787.31,979128.2,922916.08,1212786.08,5.88,5.71,5.42,5.4,71.0,138,77,30.5,0.464,24.25,68.3,54.37,0.454,0.466,0.477,0.477
2022-07-10,4562623.35,5.52,1397784.39,1221668.68,893884.66,1049285.62,5.64,5.58,5.29,5.27,71.15,144,83,34.03,0.142,16.8,72.61,47.44,0.115,0.143,0.174,0.167
2022-07-11,4628615.99,4.52,1368934.36,1139235.84,986367.89,1134077.9,4.66,4.48,4.31,4.18,79.36,148,84,37.04,0.295,24.05,65.59,43.99,0.271,0.287,0.312,0.329
2022-07-12,4561564.19,6.8,1396063.62,1071868.53,852229.44,1241402.61,6.87,7.01,6.78,6.56,69.18,134,65,31.15,0.426,18.13,78.57,50.9,0.408,0.417,0.462,0.452
2022-07-13,4528122.21,6.16,1287180.87,1013588.93,820579.73,1406772.68,6.36,6.08,5.99,5.92,64.06,152,84,40.59,0.219,16.3,77.28,59.48,0.198,0.228,0.241,0.243
2022-07-14,4506867.56,4.95,1380515.78,1104323.23,848093.03,1173935.52,4.98,5.16,4.75,4.8,66.29,131,55,35.9,0.273,23.27,75.89,53.9,0.256,0.284,0.295,0.303
2022-07-15,4366577.36,6.5,1397202.36,1134112.7,845441.26,989821.05,6.72,6.51,6.11,6.11,65.37,141,58,34.09,0.497,15.02,74.15,49.83,0.459,0.507,0.509,0.524
2022-07-16,4458618.69,5.0,1257011.6,1138527.56,893610.76,1169468.77,5.2,4.86,4.73,4.74,78.29,149,82,30.05,0.062,23.32,73.7,55.54,0.04,0.07,0.104,0.099
2022-07-17,4490723.35,4.72,1432931.29,999236.69,918825.19,1139730.17,4.93,4.85,4.36,4.4,71.76,136,66,40.8,0.151,17.62,79.95,54.75,0.139,0.155,0.181,0.168
2022-07-18,4673854.67,4.74,1384752.45,1045284.66,1011535.39,1232282.17,4.89,4.75,4.48,4.54,77.72,152,91,42.51,0.45,23.85,69.17,57.83,0.426,0.455,0.475,0.486
2022-07-19,4589234.19,3.73,1444829.23,1102075.52,919655.73,1122673.71,4.24,3.81,3.6,3.39,70.41,159,67,35.93,0.034,21.91,76.7,44.09,0.006,0.036,0.057,0.064
2022-07-20,4337435.18,5.97,1350223.7,1018275.91,867708.36,1101227.21,6.31,6.09,5.76,5.75,82.24,147,84,38.46,0.419,21.66,73.72,57.18,0.409,0.425,0.433,0.453
2022-07-21,4588890.08,3.67,1388968.23,1062875.12,835222.6,1301824.12,3.74,3.7,3.45,3.38,84.59,142,70,33.42,0.699,18.65,79.64,46.02,0.675,0.698,0.726,0.715
2022-07-22,4504790.13,4.27,1394403.58,1054347.14,817152.99,1238886.41,4.49,4.21,4.17,3.88,76.75,138,78,39.33,0.051,15.59,77.42,58.82,0.033,0.057,0.071,0.09
2022-07-23,4470769.36,3.42,1408921.04,1163178.56,903302.85,995366.91,3.56,3.52,3.26,3.05,81.6,131,74,30.18,0.138,23.3,79.98,45.62,0.116,0.147,0.158,0.173
2022-07-24,4626401.15,5.41,1370180.93,1232757.34,913839.81,1109623.07,5.51,5.41,5.23,5.12,72.7,130,76,37.33,0.483,16.71,73.82,58.54,0.463,0.47,0.511,0.529
2022-07-25,4677719.94,5.35,1370952.37,1123846.24,999007.62,1183913.72,5.42,5.42,4.99,5.23,83.37,124,57,39.66,0.173,18.72,68.07,59.28,0.168,0.184,0.196,0.195
2022-07-26,4666753.61,5.17,1431310.77,1238115.63,870009.73,1127317.48,5.42,4.96,5.18,4.57,80.79,155,91,43.77,0.203,21.0,72.56,42.91,0.189,0.203,0.223,0.227
2022-07-27,4455293.9,4.46,1391449.94,1051782.55,806403.15,1205658.27,4.59,4.5,4.14,3.98,84.79,133,57,35.72,0.372,19.82,75.67,59.49,0.34,0.387,0.406,0.384
2022-07-28,4519894.51,4.33,1403388.4,1102049.04,894765.33,1119691.75,4.62,4.26,4.22,3.96,75.58,148,62,41.48,0.245,16.99,76.62,41.71,0.221,0.258,0.257,0.267
2022-07-29,4597751.61,5.96,1434096.41,1063466.61,871269.99,1228918.6,6.26,6.13,5.9,5.74,79.48,146,71,38.97,0.151,16.41,65.01,44.37,0.127,0.141,0.154,0.195
2022-07-30,4676065.42,4.95,1390770.96,1178479.78,850971.78,1255842.89,5.29,5.01,4.63,4.66,73.57,155,88,43.91,0.215,16.23,72.58,48.88,0.197,0.215,0.227,0.248
2022-07-31,4502499.09,5.82,1407991.66,1210942.88,940949.96,942614.59,5.93,5.84,5.54,5.57,66.48,138,68,35.98,0.085,23.63,68.53,59.87,0.074,0.066,0.106,0.107
2022-08-01,4538720.92,4.61,1292665.67,1135472.94,837229.35,1273352.96,4.86,4.66,4.29,4.19,68.87,152,86,34.79,0.048,15.32,78.12,49.77,0.029,0.044,0.075,0.08
2022-08-02,4429239.8,5.68,1336654.06,1053674.98,905038.88,1133871.89,5.94,5.58,5.4,5.35,82.35,139,76,43.31,0.285,24.77,67.29,51.01,0.265,0.289,0.298,0.315
2022-08-03,4419455.21,6.8,1238465.46,1115430.15,845185.41,1220374.18,6.96,6.97,6.4,6.58,61.4,130,57,30.74,0.194,16.99,75.0,53.89,0.152,0.203,0.251,0.205
2022-08-04,4661503.1,6.09,1365743.18,1054180.44,871420.65,1370158.83,6.21,6.29,5.83,5.83,74.79,125,74,32.05,0.065,16.1,68.99,59.37,0.058,0.065,0.086,0.077
2022-08-05,4727748.8,5.09,1393071.19,1250172.58,922809.58,1161695.46,5.45,5.13,4.9,4.68,69.31,127,52,31.24,0.148,20.77,70.35,55.67,0.127,0.153,0.17,0.189
2022-08-06,4557358.79,5.76,1348280.5,1117255.64,966423.62,1125399.03,5.98,5.92,5.52,5.3,69.67,136,79,42.65,0.12,15.8,79.11,44.48,0.103,0.113,0.127,0.157
2022-08-07,4687423.95,5.26,1442876.69,1136547.91,917252.66,1190746.69,5.52,5.2,4.93,4.81,82.11,148,68,30.16,0.432,21.02,68.61,46.06,0.414,0.431,0.437,0.447
2022-08-08,4611396.32,5.51,1362862.79,1149589.93,968535.19,1130408.41,5.63,5.43,5.39,5.13,81.35,103,52,42.92,0.088,23.51,66.43,41.95,0.06,0.082,0.09,0.116
2022-08-09,4491585.63,5.17,1338257.81,1128462.35,831030.71,1193834.76,5.25,5.18,5.04,4.9,74.97,128,62,36.77,0.396,15.48,66.04,52.89,0.373,0.398,0.429,0.418
2022-08-10,4613367.47,5.34,1335578.03,1031497.25,973009.29,1273282.91,5.48,5.38,5.17,5.36,66.82,130,56,30.06,0.196,23.0,72.57,43.61,0.169,0.21,0.228,0.237
2022-08-11,4755564.39,5.71,1402558.95,1208535.67,901071.66,1243398.11,5.9,5.67,5.72,5.38,71.89,142,67,36.02,0.24,18.94,74.63,45.15,0.234,0.24,0.26,0.275
2022-08-12,4567700.88,4.51,1320480.23,1060147.77,945951.33,1241121.55,4.6,4.56,4.29,4.21,70.21,149,65,32.8,0.324,16.59,69.91,57.76,0.282,0.31,0.332,0.343
2022-08-13,4760757.24,4.48,1346950.75,1217314.35,964678.25,1231813.89,4.68,4.51,4.47,4.17,68.84,161,71,39.37,0.181,16.76,75.35,46.54,0.151,0.182,0.198,0.212
2022-08-14,4259630.59,4.11,1295515.29,1112303.45,925046.04,926765.82,4.14,4.01,3.91,3.81,62.57,138,60,40.19,0.546,24.19,65.92,51.33,0.523,0.553,0.58,0.575
2022-08-15,4673628.3,3.9,1433535.05,1216068.39,913661.15,1110363.71,3.99,3.95,3.61,3.73,73.58,152,76,37.31,0.197,16.11,77.86,47.95,0.192,0.188,0.212,0.227
2022-08-16,4586445.65,4.28,1397855.13,1135718.83,837698.74,1215172.95,4.55,4.37,4.13,3.93,67.55,134,75,30.61,0.257,23.67,77.25,41.48,0.244,0.27,0.268,0.282
2022-08-17,4541119.12,5.66,1355704.62,1117153.88,820880.93,1247379.69,5.92,5.68,5.29,5.3,76.52,127,65,39.84,0.097,20.44,79.78,47.26,0.06,0.091,0.113,0.127
2022-08-18,4589011.29,4.61,1354636.81,1042365.45,977800.56,1214208.46,4.77,4.72,4.55,4.24,67.98,138,80,42.63,0.355,15.39,79.05,48.16,0.334,0.347,0.372,0.376
2022-08-19,4340491.73,6.01,1365229.39,1123177.36,872392.94,979692.05,6.11,5.89,5.69,5.62,70.78,141,74,40.8,0.06,19.64,70.34,57.91,0.047,0.042,0.087,0.078
2022-08-20,4553639.37,5.53,1369567.47,1063595.68,960862.36,1159613.85,5.63,5.58,5.27,5.17,61.31,143,77,42.45,0.229,23.17,70.99,46.49,0.232,0.232,0.227,0.247
2022-08-21,4623853.51,3.53,1383305.65,1132080.12,875651.62,1232816.12,3.69,3.41,3.5,3.27,84.81,121,65,33.01,0.195,22.26,76.19,47.58,0.172,0.213,0.217,0.215
2022-08-22,4759347.29,6.15,1337498.82,1114704.36,922377.45,1384766.66,6.42,6.04,5.68,5.86,72.69,157,77,43.33,0.189,19.89,67.01,55.66,0.158,0.193,0.202,0.224
2022-08-23,4520807.57,6.31,1327534.75,1024828.28,819189.12,1349255.43,6.6,6.25,6.12,6.0,60.61,158,85,34.83,0.324,23.6,69.71,55.18,0.307,0.317,0.339,0.359
2022-08-24,4486980.77,4.51,1324591.83,1128376.43,980224.44,1053788.06,4.66,4.41,4.39,4.2,73.53,132,55,30.2,0.44,16.2,66.78,55.97,0.419,0.445,0.467,0.484
2022-08-25,4524789.15,5.92,1339124.52,1007745.66,935340.51,1242578.46,6.0,5.87,5.86,5.52,81.76,156,89,42.65,0.014,24.1,71.82,59.08,-0.001,0.022,0.021,0.042
2022-08-26,4695848.25,4.64,1423813.57,1208862.84,1020540.27,1042631.58,4.87,4.62,4.47,4.28,79.31,142,79,44.13,0.288,23.46,73.28,55.91,0.274,0.299,0.309,0.325
2022-08-27,4626450.13,5.6,1394153.46,1091284.0,881893.26,1259119.41,5.72,5.68,5.41,5.09,77.52,141,63,39.83,0.377,22.08,68.17,48.15,0.36,0.365,0.402,0.407
2022-08-28,4524428.78,4.24,1376856.99,995404.8,925058.12,1227108.86,4.38,4.2,4.03,3.71,63.49,151,84,33.47,0.106,23.18,65.4,56.43,0.091,0.122,0.132,0.139
2022-08-29,4650592.09,3.71,1444452.19,1141982.92,963323.64,1100833.35,4.04,3.55,3.54,3.4,76.44,159,64,33.78,0.265,20.44,75.79,50.17,0.261,0.267,0.292,0.303
2022-08-30,4601649.31,5.12,1438104.82,1023142.65,886746.97,1253654.87,5.4,5.23,4.85,5.2,79.16,151,67,37.0,0.17,21.75,65.3,45.55,0.147,0.187,0.195,0.206
2022-08-31,4707237.4,5.38,1453241.5,1100592.01,1006992.79,1146411.09,5.59,5.29,5.22,4.95,74.31,120,50,43.47,0.457,20.61,79.6,46.06,0.425,0.459,0.484,0.488
2022-09-01,4507753.63,5.1,1434461.63,1151049.59,982178.47,940063.93,5.18,5.1,5.1,4.86,82.32,144,80,32.24,0.173,18.55,68.32,44.48,0.156,0.178,0.184,0.196
2022-09-02,4553680.54,4.32,1278351.57,1016083.14,980836.4,1278409.43,4.54,4.36,4.13,4.1,66.92,134,74,42.39,0.307,20.69,74.96,42.9,0.275,0.298,0.341,0.34
2022-09-03,4546947.02,5.1,1308752.85,1191149.73,952870.4,1094174.04,5.41,5.12,5.14,4.84,66.05,151,85,34.37,0.266,17.57,71.52,43.69,0.234,0.275,0.274,0.309
2022-09-04,4419378.21,5.77,1238762.83,973107.29,844536.93,1362971.16,5.93,5.88,5.53,5.51,81.74,145,58,42.13,0.315,19.4,65.9,41.26,0.287,0.304,0.338,0.347
2022-09-05,4631534.43,5.46,1416781.7,1076096.24,885848.77,1252807.72,5.79,5.5,5.35,5.09,75.63,140,70,43.8,0.344,17.81,72.08,57.77,0.311,0.346,0.357,0.37
2022-09-06,4628326.63,5.68,1462186.61,1189689.16,1011448.64,965002.23,6.01,5.6,5.47,5.54,60.04,127,69,36.41,0.273,16.23,72.75,58.62,0.265,0.269,0.276,0.311
2022-09-07,4598613.61,4.83,1332399.05,1084415.21,829642.23,1352157.13,5.2,5.05,4.5,4.64,68.83,148,64,35.48,0.317,18.22,77.82,51.74,0.298,0.316,0.332,0.334
2022-09-08,4570849.54,6.67,1449331.29,1028873.64,953671.19,1138973.43,6.9,6.69,6.57,6.34,81.45,131,69,42.03,0.408,23.52,75.99,56.81,0.395,0.419,0.427,0.435
2022-09-09,4430155.51,4.32,1251123.3,1054428.83,922579.21,1202024.18,4.58,4.31,4.02,3.96,60.68,142,59,37.94,0.329,18.81,66.19,43.67,0.314,0.325,0.363,0.349
2022-09-10,4550522.56,5.99,1444233.21,1062636.5,932436.57,1111216.28,6.33,6.08,5.83,5.62,60.08,146,64,40.27,0.446,22.48,68.14,58.03,0.424,0.457,0.484,0.475
2022-09-11,4560874.26,6.68,1341193.07,1195567.49,1001587.84,1022525.86,6.93,6.71,6.31,6.46,67.03,124,61,39.34,0.084,16.75,69.68,50.13,0.073,0.08,0.103,0.126
2022-09-12,4506726.73,5.98,1280166.52,1062088.55,867433.03,1297038.63,6.13,6.02,5.82,5.78,82.85,134,71,32.29,0.332,19.24,66.75,41.34,0.307,0.334,0.338,0.369
2022-09-13,4584645.71,5.3,1372802.8,1189470.85,887582.25,1134789.82,5.45,5.55,5.18,5.05,82.54,147,63,42.67,0.15,16.15,71.85,42.83,0.128,0.171,0.157,0.161
2022-09-14,4653486.1,4.97,1350772.36,1231282.67,852321.24,1219109.84,5.2,4.94,4.7,4.65,72.97,146,64,32.94,0.409,16.39,79.76,46.18,0.382,0.411,0.437,0.433
2022-09-15,4832342.31,6.54,1408119.98,1167933.02,955411.7,1300877.6,6.61,6.5,6.38,6.09,73.83,147,65,43.98,0.119,21.17,72.72,40.87,0.113,0.118,0.146,0.134
2022-09-16,4627949.34,4.08,1352710.71,1228707.39,881355.65,1165175.58,4.26,4.09,3.96,3.98,68.3,150,67,33.76,0.484,21.07,76.13,46.19,0.463,0.485,0.498,0.524
2022-09-17,4638906.05,4.53,1447900.16,1108076.48,898720.63,1184208.77,4.84,4.64,4.38,4.25,66.09,138,61,41.01,0.283,17.13,75.24,41.2,0.269,0.28,0.292,0.307
2022-09-18,4600066.49,5.1,1387225.73,1233755.87,981575.4,997509.5,5.08,4.95,4.91,4.94,80.38,161,77,34.27,0.494,19.74,77.75,44.72,0.469,0.484,0.524,0.525
2022-09-19,4379747.45,6.74,1280867.25,983097.72,952241.98,1163540.51,7.09,6.54,6.4,6.6,62.66,129,68,34.77,0.551,23.63,68.24,45.31,0.539,0.571,0.558,0.582
2022-09-20,4607818.33,5.88,1402681.42,1172003.03,863640.27,1169493.61,6.19,5.82,5.87,5.48,72.18,131,64,34.65,0.238,16.74,76.31,59.89,0.226,0.234,0.254,0.27
2022-09-21,4619227.63,4.53,1425706.25,1130282.05,900289.11,1162950.21,4.69,4.37,4.33,4.18,75.86,152,84,41.22,0.226,15.19,78.22,44.71,0.19,0.211,0.251,0.227
2022-09-22,4908589.05,5.19,1427932.9,1175030.03,1065876.66,1239749.46,5.44,5.15,4.93,4.84,62.59,133,72,38.35,0.32,21.52,67.57,44.78,0.3,0.318,0.32,0.353
2022-09-23,4590916.68,4.89,1361399.45,1155238.05,837715.3,1236563.88,5.09,4.94,4.67,4.49,72.99,139,59,43.24,0.263,15.53,70.2,53.74,0.244,0.267,0.293,0.288
2022-09-24,4651185.68,4.79,1325008.58,1186949.35,854396.86,1284830.88,5.11,4.7,4.46,4.54,74.44,147,60,34.61,0.265,24.8,79.55,57.19,0.242,0.263,0.309,0.303
2022-09-25,4611834.59,6.48,1324730.92,1015609.74,860160.83,1411333.1,6.78,6.34,6.29,6.22,78.56,119,68,40.38,0.416,21.1,76.71,47.74,0.41,0.415,0.437,0.448
2022-09-26,4476758.64,4.13,1375460.43,1022257.33,912401.52,1166639.35,4.19,4.14,3.95,3.61,65.87,136,57,41.29,0.434,19.7,69.24,57.51,0.402,0.433,0.454,0.471
2022-09-27,4755138.74,7.11,1365949.43,1215662.17,884545.63,1288981.51,7.37,7.2,6.85,6.83,67.33,151,65,32.27,0.098,19.3,73.46,46.8,0.074,0.103,0.119,0.121
2022-09-28,4709231.96,6.33,1417509.6,1192939.21,1030017.6,1068765.56,6.51,6.16,6.12,5.95,74.24,121,49,36.01,0.467,20.73,71.06,43.94,0.438,0.475,0.489,0.485
2022-09-29,4714923.83,6.59,1453902.64,1265025.26,932935.29,1063060.64,6.8,6.67,6.43,6.29,84.58,121,64,37.24,0.028,15.91,72.35,46.59,0.019,0.026,0.041,0.067
2022-09-30,4511873.51,5.04,1282613.19,1164297.48,902648.65,1162314.18,5.16,5.12,4.79,4.92,65.44,130,67,35.34,0.16,24.3,70.33,52.19,0.13,0.186,0.169,0.196
2022-10-01,4790335.32,5.35,1449998.52,1281599.77,909523.46,1149213.57,5.72,5.45,5.22,5.25,84.65,161,96,34.83,0.316,21.26,69.19,47.34,0.278,0.326,0.332,0.348
2022-10-02,4454777.87,4.07,1293055.01,1136534.23,885780.95,1139407.68,4.37,4.19,3.93,3.82,77.86,134,77,40.3,0.118,16.84,75.12,53.46,0.102,0.118,0.14,0.15
2022-10-03,4694422.85,4.98,1495253.84,1102732.18,969288.21,1127148.62,5.1,5.2,4.83,4.57,80.65,142,68,33.24,0.298,20.63,76.68,44.74,0.276,0.284,0.308,0.332
2022-10-04,4887854.68,5.99,1463139.34,1101078.45,1026679.63,1296957.25,6.06,5.96,5.66,5.61,62.24,153,73,40.64,0.426,16.33,78.11,54.02,0.416,0.427,0.432,0.443
2022-10-05,4507135.64,6.8,1407306.69,1167759.15,947195.84,984873.96,6.96,6.81,6.92,6.4,67.51,140,64,44.03,0.471,15.18,67.33,46.95,0.459,0.479,0.486,0.511
2022-10-06,4559044.27,4.39,1376872.68,1149824.98,926013.22,1106333.39,4.64,4.35,4.15,4.19,61.44,133,57,38.48,0.256,21.31,77.34,49.12,0.236,0.265,0.263,0.285
2022-10-07,4639958.16,5.13,1307245.58,1031969.85,1003040.13,1297702.6,5.36,5.13,4.93,4.67,69.29,142,61,39.17,0.283,21.48,68.82,51.15,0.249,0.265,0.31,0.312
2022-10-08,4568582.92,5.35,1394907.4,1087334.26,971720.75,1114620.51,5.67,5.5,5.32,5.15,84.53,156,67,31.03,0.573,20.84,71.41,53.72,0.541,0.575,0.559,0.599
2022-10-09,4443920.39,4.1,1413416.14,1190259.6,934476.13,905768.52,4.38,3.97,3.87,3.78,62.63,131,55,42.97,0.133,16.83,78.52,44.77,0.095,0.128,0.141,0.138
2022-10-10,4639227.56,6.09,1410624.28,1136703.8,845379.63,1246519.85,6.39,6.01,5.84,5.79,74.06,121,54,34.28,0.288,21.03,71.82,56.72,0.267,0.303,0.322,0.324
2022-10-11,4504523.55,4.78,1408868.82,1088457.11,812053.52,1195144.11,5.01,4.91,4.52,4.49,60.15,136,63,39.23,0.173,15.57,67.96,54.44,0.146,0.174,0.19,0.193
2022-10-12,4689831.09,5.3,1479023.86,1139089.53,884023.27,1187694.43,5.37,5.41,5.37,4.87,77.82,126,75,44.69,0.34,21.09,67.4,44.68,0.318,0.317,0.362,0.371
2022-10-13,4523669.09,5.05,1307897.64,1042453.02,934322.88,1238995.55,5.23,5.01,4.71,4.82,64.93,138,71,38.93,0.685,20.54,72.09,59.5,0.667,0.689,0.704,0.707
2022-10-14,4820992.13,4.71,1390768.46,1149494.99,947073.78,1333654.91,5.02,4.8,4.58,4.55,63.24,139,83,40.87,0.178,21.55,76.44,53.3,0.177,0.158,0.192,0.205
